Year,Ceremony,Award,Winner,Name,Film
2013,86,Best Picture,,Gravity ,"Alfonso Cuarón and David Heyman, Producers"
2013,86,Best Picture,,Her ,"Megan Ellison, Spike Jonze and Vincent Landay, Producers"
2013,86,Best Picture,,Nebraska ,"Albert Berger and Ron Yerxa, Producers"
2013,86,Best Picture,,Philomena ,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers"
2013,86,Best Picture,1,12 Years a Slave ,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
2013,86,Best Picture,,The Wolf of Wall Street ,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers"
2014,87,Best Picture,,American Sniper ,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers"
2014,87,Best Picture,1,Birdman or (The Unexpected Virtue of Ignorance) ,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers"
2014,87,Best Picture,,Boyhood ,"Richard Linklater and Cathleen Sutherland, Producers"
2014,87,Best Picture,,The Grand Budapest Hotel ,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers"
2014,87,Best Picture,,The Imitation Game ,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers"
2014,87,Best Picture,,Selma ,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers"
2014,87,Best Picture,,The Theory of Everything ,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers"
2014,87,Best Picture,,Whiplash ,"Jason Blum, Helen Estabrook and David Lancaster, Producers"
2015,88,Best Picture,,The Big Short,"Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers"
2015,88,Best Picture,,Bridge of Spies,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers"
2015,88,Best Picture,,Brooklyn,"Finola Dwyer and Amanda Posey, Producers"
2015,88,Best Picture,,Mad Max: Fury Road,"Doug Mitchell and George Miller, Producers"
2015,88,Best Picture,,The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers"
2015,88,Best Picture,,The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers"
2015,88,Best Picture,,Room,"Ed Guiney, Producer"
2015,88,Best Picture,1,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers"
